,id,type,x,y,distances
0,8197,A,1024.18,454.85,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04614657558946256, 0.11960741489920679]"
1,8199,A,691.87,347.54,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00798157808430755]"
2,8201,A,601.09,413.78,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15739674223210365, 0.11960741489920679]"
3,8203,A,808.99,621.74,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,8207,A,443.74,525.29,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04614657558946256, 0.12780661909018587]"
5,8209,A,459.58,607.07,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10955760423820893, 0.10815416117748544]"
6,8211,A,403.81,541.46,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15739674223210365, 0.10815416117748544]"
7,8214,A,328.45,630.02,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15739674223210365, 0.10815416117748544]"
8,8216,A,328.57,814.82,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15739674223210365, 0.11960741489920679]"
9,8218,A,328.81,898.34,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15739674223210365, 0.11960741489920679]"
10,8220,A,328.45,1084.58,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04614657558946256, 0.11960741489920679]"
11,8222,A,385.78,1094.15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10955760423820893, 0.011150560117535235]"
12,8224,A,502.75,1118.54,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,8226,A,403.81,1162.46,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15739674223210365, 0.10815416117748544]"
14,8234,A,808.99,710.18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,8236,A,641.0865,751.299,"[0.0, 0.0007425779234746521, 0.0001836384633167043, 0.0003972059421917251, 0.00018993057283278603, 0.00081290504313003, 0.00032275940980497353, 2.7231060915849996, 4.667513185904967]"
16,8239,A,680.061,751.3725,"[0.0, 9.182519279971046e-05, 0.0003317891964575992, 0.0006325018968178497, 0.0005930908570528359, 0.0005634792551454382, 0.0008944927607057451, 2.6493219033926643, 4.606597530722652]"
17,8242,A,721.3105,752.029,"[0.0, 0.0010487756734613995, 0.0007574187810659438, 0.0003359707600028017, 0.0011867510320673347, 1.9616328906124636e-05, 0.0003092333559635563, 2.704169150195435, 4.628939268652056]"
